[2020-11-23 13:33:47,454][ERROR][2491056][experiments.py:run_experiment_from_to_file:752] XXX failed 19 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 19 with malfunction ExperimentMalfunction(time_step=1204, agent_id=19, malfunction_duration=50). Found earliest=1205 for Waypoint(position=(88, 22), direction=2)
[2020-11-23 13:33:47,454][ERROR][2491056][experiments.py:run_experiment_from_to_file:752] XXX failed 19 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 19 with malfunction ExperimentMalfunction(time_step=1204, agent_id=19, malfunction_duration=50). Found earliest=1205 for Waypoint(position=(88, 22), direction=2)
[2020-11-23 13:45:11,043][ERROR][2502699][experiments.py:run_experiment_from_to_file:752] XXX failed 93 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 43 with malfunction ExperimentMalfunction(time_step=801, agent_id=43, malfunction_duration=50). Found earliest=802 for Waypoint(position=(22, 28), direction=1)
[2020-11-23 13:45:11,043][ERROR][2502699][experiments.py:run_experiment_from_to_file:752] XXX failed 93 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 43 with malfunction ExperimentMalfunction(time_step=801, agent_id=43, malfunction_duration=50). Found earliest=802 for Waypoint(position=(22, 28), direction=1)
[2020-11-23 13:55:09,400][ERROR][2511747][experiments.py:run_experiment_from_to_file:752] XXX failed 131 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 19 with malfunction ExperimentMalfunction(time_step=1310, agent_id=19, malfunction_duration=50). Found earliest=1311 for Waypoint(position=(88, 22), direction=2)
[2020-11-23 13:55:09,400][ERROR][2511747][experiments.py:run_experiment_from_to_file:752] XXX failed 131 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 19 with malfunction ExperimentMalfunction(time_step=1310, agent_id=19, malfunction_duration=50). Found earliest=1311 for Waypoint(position=(88, 22), direction=2)
[2020-11-23 14:04:14,638][ERROR][2517752][experiments.py:run_experiment_from_to_file:752] XXX failed 163 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 51 with malfunction ExperimentMalfunction(time_step=587, agent_id=51, malfunction_duration=50). Found earliest=588 for Waypoint(position=(75, 26), direction=0)
[2020-11-23 14:04:14,638][ERROR][2517752][experiments.py:run_experiment_from_to_file:752] XXX failed 163 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 51 with malfunction ExperimentMalfunction(time_step=587, agent_id=51, malfunction_duration=50). Found earliest=588 for Waypoint(position=(75, 26), direction=0)
[2020-11-23 14:32:14,243][ERROR][2534045][experiments.py:run_experiment_from_to_file:752] XXX failed 251 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 65 with malfunction ExperimentMalfunction(time_step=1168, agent_id=65, malfunction_duration=50). Found earliest=1169 for Waypoint(position=(19, 14), direction=3)
[2020-11-23 14:32:14,243][ERROR][2534045][experiments.py:run_experiment_from_to_file:752] XXX failed 251 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 65 with malfunction ExperimentMalfunction(time_step=1168, agent_id=65, malfunction_duration=50). Found earliest=1169 for Waypoint(position=(19, 14), direction=3)
[2020-11-23 14:44:25,377][ERROR][2542301][experiments.py:run_experiment_from_to_file:752] XXX failed 291 PUBLICATION_DATA/PUBLICATION_DATA_without_propagate_partial_2020_11_23T13_31_43/data agent 19 with malfunction ExperimentMalfunction(time_step=255, agent_id=19, malfunction_duration=50). Found earliest=256 for Waypoint(position=(88, 22), direction=2)
